City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Temperature,Wind Speed
Cape Town,90,ZA,1586658870,93,-33.93,18.42,64.99,27.51
Albany,1,US,1586658894,50,42.6,-73.97,39.99,6.93
Bluff,20,NZ,1586658894,51,-46.6,168.33,71.01,5.99
Verkhniy Baskunchak,0,RU,1586658894,73,48.23,46.72,38.26,16.71
Inírida,64,CO,1586658894,88,3.87,-67.92,75.88,1.66
Klaksvík,99,FO,1586658895,76,62.23,-6.59,37.4,26.4
Cherskiy,80,RU,1586658853,96,68.75,161.3,23.36,15.97
Constitución,75,CL,1586658888,81,-35.33,-72.42,52.57,10.02
Lavrentiya,97,RU,1586658895,96,65.58,-171.0,32.4,9.89
Barra de Tecoanapa,0,MX,1586658896,82,16.52,-98.75,77.86,4.29
Lashio,0,MM,1586658896,18,22.93,97.75,90.03,1.68
Odesa,0,UA,1586658651,39,46.48,30.73,44.6,4.47
Avarua,100,CK,1586658896,89,-21.21,-159.78,84.2,3.36
Upernavik,100,GL,1586658864,86,72.79,-56.15,20.37,2.3
Carnarvon,7,AU,1586658897,61,-24.87,113.63,82.4,19.46
Abu Samrah,0,SY,1586658897,75,35.3,37.18,49.39,5.53
Jamestown,1,US,1586658886,55,42.1,-79.24,37.0,3.36
Mossamedes,31,AO,1586658897,66,-15.2,12.15,75.83,5.12
Vaini,40,TO,1586658837,65,-21.2,-175.2,80.6,9.17
Chui,0,UY,1586658603,79,-33.7,-53.46,60.82,6.06
Barrow,90,US,1586658820,92,71.29,-156.79,26.6,18.34
Bayanday,100,RU,1586658648,64,53.07,105.51,38.57,6.26
Ojinaga,1,MX,1586658899,9,29.57,-104.42,80.6,9.17
Zhigansk,71,RU,1586658899,92,66.77,123.37,25.92,15.61
Taitung City,75,TW,1586658899,83,22.76,121.14,69.8,5.82
Vila,90,PT,1586658869,100,42.03,-8.16,53.01,2.24
Camocim,100,BR,1586658900,90,-2.9,-40.84,77.29,3.56
Smithers,5,CA,1586658900,26,54.78,-127.17,46.4,6.93
Arraial do Cabo,79,BR,1586658900,76,-22.97,-42.03,72.41,5.82
Bredasdorp,100,ZA,1586658900,68,-34.53,20.04,66.2,12.75
Coyhaique,75,CL,1586658674,61,-45.58,-72.07,46.4,3.36
Shingū,75,JP,1586658901,87,33.73,135.98,53.6,3.36
Butaritari,98,KI,1586658901,75,3.07,172.79,83.01,10.04
Puri,20,IN,1586658902,78,19.8,85.85,82.4,2.24
Kruisfontein,100,ZA,1586658902,54,-34.0,24.73,60.84,8.32
Hilo,1,US,1586658787,61,19.73,-155.09,82.4,5.82
Ushuaia,40,AR,1586658616,80,-54.8,-68.3,39.2,5.82
Chapecó,0,BR,1586658903,71,-27.1,-52.62,51.46,3.06
Codrington,95,AU,1586658904,59,-38.27,141.97,58.06,10.25
Nurota,90,UZ,1586658904,82,40.56,65.69,60.8,13.87
Alice Springs,66,AU,1586658647,12,-23.7,133.88,86.0,9.17
Doka,16,SD,1586658904,35,13.52,35.77,73.85,10.38
Warmbad,0,NA,1586658904,42,-28.45,18.73,60.71,7.56
Fortuna,90,US,1586658822,87,40.6,-124.16,55.0,11.41
Qaqortoq,100,GL,1586658905,36,60.72,-46.03,46.4,42.5
Nuuk,100,GL,1586658905,80,64.18,-51.72,35.6,12.75
Puerto Ayora,53,EC,1586658610,88,-0.74,-90.35,79.0,1.01
Mataura,18,NZ,1586658906,51,-46.19,168.86,71.01,5.99
Chicama,76,PE,1586658843,66,-7.84,-79.15,76.12,6.24
Punta Arenas,75,CL,1586658691,87,-53.15,-70.92,42.8,11.41
Río Gallegos,90,AR,1586658851,70,-51.62,-69.22,46.4,17.22
Dryden,75,CA,1586658907,68,49.78,-92.75,28.4,8.05
Nikolskoye,6,RU,1586658907,92,59.7,30.79,24.8,3.47
Mar del Plata,100,AR,1586658907,82,-38.0,-57.56,62.01,8.05
Kumul,42,CN,1586658907,14,42.8,93.45,64.92,7.49
Portland,20,US,1586658831,41,45.52,-122.68,60.01,8.05
Santa Rosa,75,PH,1586658908,62,14.31,121.11,89.6,8.05
Port Macquarie,0,AU,1586658909,37,-31.43,152.92,73.0,6.93
Fukuechō,75,JP,1586658909,82,32.69,128.84,55.4,14.99
Hofn,5,IS,1586658909,89,64.25,-15.21,30.72,20.24
Mount Gambier,90,AU,1586658894,62,-37.83,140.77,57.2,6.93
George Town,20,MY,1586658732,70,5.41,100.34,89.6,4.7
Mokameh,74,IN,1586658910,17,25.4,85.92,90.09,4.97
Mahébourg,40,MU,1586658910,78,-20.41,57.7,79.0,14.99
Batagay-Alyta,2,RU,1586658894,76,67.8,130.41,29.95,8.46
Bethel,1,US,1586658910,59,41.37,-73.41,48.0,4.7
Busselton,75,AU,1586658885,46,-33.65,115.33,78.01,9.98
Port Alfred,37,ZA,1586658829,72,-33.59,26.89,66.99,5.99
Decatur,75,US,1586658912,71,39.84,-88.95,54.0,9.17
Atuona,44,PF,1586658865,65,-9.8,-139.03,82.96,5.41
Yellowknife,20,CA,1586658617,44,62.46,-114.35,17.6,14.99
Ribeira Grande,0,PT,1586658841,74,38.52,-28.7,60.96,5.37
Lebu,0,CL,1586658913,74,-37.62,-73.65,51.85,13.51
Yar-Sale,44,RU,1586658914,91,66.83,70.83,12.34,4.05
Kaitangata,86,NZ,1586658914,65,-46.28,169.85,64.99,1.99
Tambo,3,PE,1586658914,25,-14.8,-73.92,34.09,1.52
Hong Kong,20,HK,1586658907,46,22.29,114.16,72.0,18.34
Hobart,75,AU,1586658915,58,-42.88,147.33,60.01,10.29
Natal,20,BR,1586658791,94,-5.79,-35.21,77.0,3.36
Batticaloa,17,LK,1586658915,70,7.71,81.69,84.94,4.99
Provideniya,100,RU,1586658631,93,64.38,-173.3,32.54,6.29
Micheweni,100,TZ,1586658916,80,-4.97,39.83,82.06,11.86
Huarmey,0,PE,1586658748,72,-10.07,-78.15,75.13,7.14
Kiryat Gat,75,IL,1586658916,82,31.61,34.76,55.4,3.36
Sassandra,84,CI,1586658917,89,4.95,-6.08,77.74,4.05
East London,100,ZA,1586658771,57,-33.02,27.91,76.1,8.7
Tiznit Province,96,MA,1586658917,71,29.58,-9.5,57.67,4.52
Ilulissat,86,GL,1586658917,68,69.22,-51.1,28.4,8.05
Severobaykal'sk,100,RU,1586658918,67,55.65,109.32,35.19,8.25
New Norfolk,75,AU,1586658852,58,-42.78,147.06,60.01,10.29
Tasiilaq,99,GL,1586658861,58,65.61,-37.64,26.6,11.41
Pedernales,13,DO,1586658918,67,18.04,-71.74,79.41,5.39
Sitka,20,US,1586658918,52,57.05,-135.33,46.4,4.7
Aklavik,5,CA,1586658780,53,68.22,-135.01,23.0,5.82
Longyearbyen,74,SJ,1586658919,86,78.22,15.64,-5.8,4.81
Thompson,90,CA,1586658919,72,55.74,-97.86,15.8,11.41
Sola,95,VU,1586658919,72,-13.88,167.55,81.48,11.88
Sinnamary,100,GF,1586658920,79,5.38,-52.95,78.96,13.06
Chokurdakh,100,RU,1586658904,97,70.63,147.92,29.89,12.95
Northam,37,GB,1586658916,90,51.03,-4.22,54.0,5.99
Rikitea,91,PF,1586658920,77,-23.12,-134.97,78.55,7.2
Inhambane,0,MZ,1586658921,91,-23.86,35.38,69.26,5.46
Yulara,60,AU,1586658921,12,-25.24,130.99,87.8,4.7
Flinders,0,AU,1586658921,34,-34.58,150.86,69.01,4.7
Ponta do Sol,20,PT,1586658921,67,32.67,-17.1,60.8,8.05
Forestville,1,US,1586658922,52,38.85,-76.88,52.0,2.39
Necochea,95,AR,1586658922,90,-38.55,-58.74,59.0,1.99
Baharly,66,TM,1586658922,51,38.44,57.43,57.51,5.97
Saint Paul Harbor,90,US,1586658906,86,57.79,-152.41,37.4,20.8
Porto Santo,75,PT,1586658924,72,33.07,-16.34,60.8,9.17
Teknāf,59,BD,1586658924,51,20.86,92.31,86.81,6.53
Port Lincoln,100,AU,1586658924,57,-34.73,135.87,59.67,7.63
Kasongo-Lunda,100,CD,1586658925,79,-6.47,16.82,71.1,0.83
Cumberland,1,US,1586658925,50,35.05,-78.87,55.99,6.93
Korem,100,ET,1586658925,50,12.51,39.52,54.81,1.95
Dudinka,40,RU,1586658925,80,69.41,86.18,30.2,38.03
Qaanaaq,100,GL,1586658926,72,77.48,-69.36,12.18,5.19
Bodden Town,0,KY,1586658926,77,19.28,-81.25,82.0,4.0
Port Elizabeth,60,ZA,1586658926,59,-33.92,25.57,64.4,3.36
Grand Gaube,40,MU,1586658926,78,-20.01,57.66,79.0,14.99
Ancud,0,CL,1586658905,100,-41.87,-73.82,39.2,5.82
Saint-Augustin,75,CA,1586658819,97,51.23,-58.65,27.97,6.42
Sambava,27,MG,1586658927,83,-14.27,50.17,74.66,8.28
Hermanus,100,ZA,1586658927,95,-34.42,19.23,62.01,10.0
Zolotukhino,0,RU,1586658927,85,52.08,36.38,31.28,11.68
Gulu,100,UG,1586658928,61,2.77,32.3,67.41,3.96
Jambi City,1,ID,1586658742,57,-1.6,103.62,90.14,1.88
Port-Cartier,20,CA,1586658929,91,50.03,-66.87,35.01,6.93
Kapaa,90,US,1586658829,78,22.08,-159.32,78.8,12.75
Ballina,6,AU,1586658632,46,-28.87,153.57,73.4,16.11
Sittwe,39,MM,1586658931,57,20.15,92.9,85.5,5.57
Tuktoyaktuk,20,CA,1586658931,78,69.45,-133.04,8.6,10.29
Mitsamiouli,100,KM,1586658931,73,-11.38,43.28,83.82,8.01
Moerai,69,PF,1586658932,74,-22.43,-151.33,82.49,1.54
